_id,Condition,ICD10,ICD10QF,SMRType,FinancialYear,CA,CAQF,EASRStays,EASRPatients,EASRNewPatients,EASRNewPatientsQF,NumberOfStays,NumberOfStaysQF,NumberOfPatients,NumberOfPatientsQF,NumberOfNewPatients,NumberOfNewPatientsQF,AverageNumberOfStaysPerPatient
224,All alcohol conditions,"",d z,SMR01,2002/03,S12000029,"",575.9,442.2,0,:,1650,"",1272,"",0,:,1.3
225,All alcohol conditions,"",d z,SMR01,2002/03,S12000010,"",462.9,364.8,0,:,399,"",312,"",0,:,1.3
226,All alcohol conditions,"",d z,SMR01,2002/03,S12000040,"",595.4,410.4,0,:,906,"",621,"",0,:,1.5
227,All alcohol conditions,"",d z,SMR01,2002/03,S12000019,"",507.8,384.7,0,:,387,"",294,"",0,:,1.3
228,All alcohol conditions,"",d z,SMR01,2002/03,S12000020,"",641.8,498.1,0,:,543,"",420,"",0,:,1.3
229,All alcohol conditions,"",d z,SMR01,2002/03,S12000013,"",1855.8,1242.7,0,:,483,"",324,"",0,:,1.5
230,All alcohol conditions,"",d z,SMR01,2002/03,S12000023,"",709.3,537,0,:,138,"",102,"",0,:,1.4
231,All alcohol conditions,"",d z,SMR01,2002/03,S12000048,"",583.5,435.8,0,:,759,"",567,"",0,:,1.3
232,All alcohol conditions,"",d z,SMR01,2002/03,S12000038,"",810,600.9,0,:,1308,"",966,"",0,:,1.4
233,All alcohol conditions,"",d z,SMR01,2002/03,S12000011,"",400.3,297.1,0,:,333,"",246,"",0,:,1.4
234,All alcohol conditions,"",d z,SMR01,2002/03,S12000027,"",576,391,0,:,126,"",87,"",0,:,1.4
235,All alcohol conditions,"",d z,SMR01,2002/03,S12000030,"",604.3,442.9,0,:,501,"",366,"",0,:,1.4
236,All alcohol conditions,"",d z,SMR01,2003/04,S12000033,"",940.3,653.4,0,:,1866,"",1311,"",0,:,1.4
237,All alcohol conditions,"",d z,SMR01,2003/04,S12000034,"",404,309.4,0,:,903,"",690,"",0,:,1.3
238,All alcohol conditions,"",d z,SMR01,2003/04,S12000041,"",348.2,247.6,0,:,369,"",261,"",0,:,1.4
239,All alcohol conditions,"",d z,SMR01,2003/04,S12000035,"",729.7,538.2,0,:,663,"",486,"",0,:,1.4
240,All alcohol conditions,"",d z,SMR01,2003/04,S12000008,"",880.5,627.2,0,:,1035,"",741,"",0,:,1.4
241,All alcohol conditions,"",d z,SMR01,2003/04,S12000021,"",1040.8,685.8,0,:,1359,"",894,"",0,:,1.5
242,All alcohol conditions,"",d z,SMR01,2003/04,S12000028,"",1081,719.6,0,:,1170,"",774,"",0,:,1.5
243,All alcohol conditions,"",d z,SMR01,2003/04,S12000026,"",538.2,370.9,0,:,573,"",393,"",0,:,1.5
244,All alcohol conditions,"",d z,SMR01,2003/04,S12000005,"",555.1,448.5,0,:,261,"",210,"",0,:,1.2
245,All alcohol conditions,"",d z,SMR01,2003/04,S12000006,"",549.3,404.7,0,:,801,"",585,"",0,:,1.4
246,All alcohol conditions,"",d z,SMR01,2003/04,S12000045,"",347.9,260.3,0,:,354,"",267,"",0,:,1.3
247,All alcohol conditions,"",d z,SMR01,2003/04,S12000039,"",952.9,635.1,0,:,816,"",546,"",0,:,1.5
248,All alcohol conditions,"",d z,SMR01,2003/04,S12000042,"",750,539.2,0,:,1014,"",738,"",0,:,1.4
249,All alcohol conditions,"",d z,SMR01,2003/04,S12000036,"",680.8,486.4,0,:,2781,"",1983,"",0,:,1.4
250,All alcohol conditions,"",d z,SMR01,2003/04,S12000014,"",417,328,0,:,588,"",459,"",0,:,1.3
251,All alcohol conditions,"",d z,SMR01,2003/04,S12000047,"",464.1,350.3,0,:,1572,"",1188,"",0,:,1.3
252,All alcohol conditions,"",d z,SMR01,2003/04,S12000049,"",1297.5,903.6,0,:,6474,"",4518,"",0,:,1.4
253,All alcohol conditions,"",d z,SMR01,2003/04,S12000017,"",1000.9,719.1,0,:,2097,"",1497,"",0,:,1.4
254,All alcohol conditions,"",d z,SMR01,2003/04,S12000018,"",1207.5,848.8,0,:,957,"",669,"",0,:,1.4
255,All alcohol conditions,"",d z,SMR01,2003/04,S12000050,"",768.4,517.8,0,:,2373,"",1578,"",0,:,1.5
256,All alcohol conditions,"",d z,SMR01,2003/04,S12000029,"",614.8,455.1,0,:,1758,"",1302,"",0,:,1.4
257,All alcohol conditions,"",d z,SMR01,2003/04,S12000010,"",476.4,350,0,:,411,"",300,"",0,:,1.4
258,All alcohol conditions,"",d z,SMR01,2003/04,S12000040,"",605.6,427.7,0,:,897,"",630,"",0,:,1.4
259,All alcohol conditions,"",d z,SMR01,2003/04,S12000019,"",642.4,468.8,0,:,486,"",357,"",0,:,1.4
260,All alcohol conditions,"",d z,SMR01,2003/04,S12000020,"",608.5,434.7,0,:,528,"",378,"",0,:,1.4
261,All alcohol conditions,"",d z,SMR01,2003/04,S12000013,"",1864.1,1310.4,0,:,492,"",345,"",0,:,1.4
262,All alcohol conditions,"",d z,SMR01,2003/04,S12000023,"",939.9,674.3,0,:,180,"",129,"",0,:,1.4
263,All alcohol conditions,"",d z,SMR01,2003/04,S12000048,"",601.6,415.8,0,:,795,"",549,"",0,:,1.4
264,All alcohol conditions,"",d z,SMR01,2003/04,S12000038,"",786.4,609.9,0,:,1260,"",972,"",0,:,1.3
265,All alcohol conditions,"",d z,SMR01,2003/04,S12000011,"",447.6,312.1,0,:,372,"",261,"",0,:,1.4
266,All alcohol conditions,"",d z,SMR01,2003/04,S12000027,"",531.7,431.4,0,:,111,"",90,"",0,:,1.2
267,All alcohol conditions,"",d z,SMR01,2003/04,S12000030,"",583.9,423.3,0,:,489,"",357,"",0,:,1.4
268,All alcohol conditions,"",d z,SMR01,2004/05,S12000033,"",871.7,615.3,0,:,1716,"",1230,"",0,:,1.4
269,All alcohol conditions,"",d z,SMR01,2004/05,S12000034,"",386.6,297.8,0,:,891,"",690,"",0,:,1.3
270,All alcohol conditions,"",d z,SMR01,2004/05,S12000041,"",385.3,248.3,0,:,414,"",267,"",0,:,1.6
271,All alcohol conditions,"",d z,SMR01,2004/05,S12000035,"",845.9,589.5,0,:,756,"",525,"",0,:,1.4
272,All alcohol conditions,"",d z,SMR01,2004/05,S12000008,"",959.4,655.1,0,:,1119,"",762,"",0,:,1.5
273,All alcohol conditions,"",d z,SMR01,2004/05,S12000021,"",1037.1,649.4,0,:,1368,"",855,"",0,:,1.6
274,All alcohol conditions,"",d z,SMR01,2004/05,S12000028,"",1049.2,713.7,0,:,1152,"",777,"",0,:,1.5
275,All alcohol conditions,"",d z,SMR01,2004/05,S12000026,"",546.2,379.8,0,:,585,"",402,"",0,:,1.5
276,All alcohol conditions,"",d z,SMR01,2004/05,S12000005,"",454.8,364.6,0,:,216,"",174,"",0,:,1.2
277,All alcohol conditions,"",d z,SMR01,2004/05,S12000006,"",533.2,386.2,0,:,786,"",564,"",0,:,1.4
278,All alcohol conditions,"",d z,SMR01,2004/05,S12000045,"",382.1,282.6,0,:,384,"",285,"",0,:,1.3
279,All alcohol conditions,"",d z,SMR01,2004/05,S12000039,"",1032.5,708.5,0,:,891,"",609,"",0,:,1.5
280,All alcohol conditions,"",d z,SMR01,2004/05,S12000042,"",715.4,513.6,0,:,942,"",681,"",0,:,1.4
281,All alcohol conditions,"",d z,SMR01,2004/05,S12000036,"",707.7,508.7,0,:,2862,"",2067,"",0,:,1.4
282,All alcohol conditions,"",d z,SMR01,2004/05,S12000014,"",475.2,351.3,0,:,672,"",498,"",0,:,1.3
283,All alcohol conditions,"",d z,SMR01,2004/05,S12000047,"",568.8,394.3,0,:,1947,"",1350,"",0,:,1.4
284,All alcohol conditions,"",d z,SMR01,2004/05,S12000049,"",1599.3,1107.2,0,:,7932,"",5505,"",0,:,1.4
285,All alcohol conditions,"",d z,SMR01,2004/05,S12000017,"",952.8,655.1,0,:,2031,"",1389,"",0,:,1.5
286,All alcohol conditions,"",d z,SMR01,2004/05,S12000018,"",1296,901.9,0,:,1017,"",714,"",0,:,1.4
287,All alcohol conditions,"",d z,SMR01,2004/05,S12000050,"",793.3,546.8,0,:,2460,"",1689,"",0,:,1.5
288,All alcohol conditions,"",d z,SMR01,2004/05,S12000029,"",670,448.9,0,:,1941,"",1302,"",0,:,1.5
289,All alcohol conditions,"",d z,SMR01,2004/05,S12000010,"",575.3,442.2,0,:,498,"",384,"",0,:,1.3
290,All alcohol conditions,"",d z,SMR01,2004/05,S12000040,"",569.3,411.2,0,:,873,"",624,"",0,:,1.4
291,All alcohol conditions,"",d z,SMR01,2004/05,S12000019,"",619.3,439.4,0,:,468,"",330,"",0,:,1.4
292,All alcohol conditions,"",d z,SMR01,2004/05,S12000020,"",647.4,459.7,0,:,561,"",399,"",0,:,1.4
293,All alcohol conditions,"",d z,SMR01,2004/05,S12000013,"",1590.4,1110.3,0,:,426,"",294,"",0,:,1.4
294,All alcohol conditions,"",d z,SMR01,2004/05,S12000023,"",1006.2,630,0,:,201,"",123,"",0,:,1.6
295,All alcohol conditions,"",d z,SMR01,2004/05,S12000048,"",536.5,396.4,0,:,714,"",528,"",0,:,1.4
296,All alcohol conditions,"",d z,SMR01,2004/05,S12000038,"",977.1,708.3,0,:,1575,"",1140,"",0,:,1.4
297,All alcohol conditions,"",d z,SMR01,2004/05,S12000011,"",623.5,433.3,0,:,513,"",360,"",0,:,1.4
298,All alcohol conditions,"",d z,SMR01,2004/05,S12000027,"",614.4,481.6,0,:,132,"",105,"",0,:,1.3
299,All alcohol conditions,"",d z,SMR01,2004/05,S12000030,"",610.8,412.6,0,:,501,"",339,"",0,:,1.5
300,All alcohol conditions,"",d z,SMR01,2005/06,S12000033,"",944.2,648.9,0,:,1881,"",1314,"",0,:,1.4
301,All alcohol conditions,"",d z,SMR01,2005/06,S12000034,"",424.7,321.3,0,:,990,"",747,"",0,:,1.3
302,All alcohol conditions,"",d z,SMR01,2005/06,S12000041,"",408.3,281.2,0,:,438,"",303,"",0,:,1.4
303,All alcohol conditions,"",d z,SMR01,2005/06,S12000035,"",828.5,568.4,0,:,753,"",513,"",0,:,1.5
304,All alcohol conditions,"",d z,SMR01,2005/06,S12000008,"",1030.9,668.3,0,:,1194,"",777,"",0,:,1.5
305,All alcohol conditions,"",d z,SMR01,2005/06,S12000021,"",1033.7,701.7,0,:,1377,"",927,"",0,:,1.5
306,All alcohol conditions,"",d z,SMR01,2005/06,S12000028,"",1028.4,691.7,0,:,1131,"",759,"",0,:,1.5
307,All alcohol conditions,"",d z,SMR01,2005/06,S12000026,"",566.2,398.5,0,:,600,"",420,"",0,:,1.4
308,All alcohol conditions,"",d z,SMR01,2005/06,S12000005,"",417.8,319.6,0,:,204,"",156,"",0,:,1.3
309,All alcohol conditions,"",d z,SMR01,2005/06,S12000006,"",518.1,403.2,0,:,768,"",594,"",0,:,1.3
310,All alcohol conditions,"",d z,SMR01,2005/06,S12000045,"",355.7,270.5,0,:,369,"",279,"",0,:,1.3
311,All alcohol conditions,"",d z,SMR01,2005/06,S12000039,"",940.8,644.3,0,:,825,"",558,"",0,:,1.5
312,All alcohol conditions,"",d z,SMR01,2005/06,S12000042,"",743.8,532.1,0,:,990,"",717,"",0,:,1.4
313,All alcohol conditions,"",d z,SMR01,2005/06,S12000036,"",720.4,507.6,0,:,2940,"",2094,"",0,:,1.4
314,All alcohol conditions,"",d z,SMR01,2005/06,S12000014,"",377.8,285.4,0,:,543,"",411,"",0,:,1.3
315,All alcohol conditions,"",d z,SMR01,2005/06,S12000047,"",579.6,399.4,0,:,2016,"",1398,"",0,:,1.4
316,All alcohol conditions,"",d z,SMR01,2005/06,S12000049,"",1539.6,1046.4,0,:,7671,"",5223,"",0,:,1.5
317,All alcohol conditions,"",d z,SMR01,2005/06,S12000017,"",953.9,669.5,0,:,2058,"",1437,"",0,:,1.4
318,All alcohol conditions,"",d z,SMR01,2005/06,S12000018,"",1321.5,917.8,0,:,1053,"",723,"",0,:,1.5
319,All alcohol conditions,"",d z,SMR01,2005/06,S12000050,"",796.5,536.1,0,:,2508,"",1674,"",0,:,1.5
320,All alcohol conditions,"",d z,SMR01,2005/06,S12000029,"",652.6,469.9,0,:,1899,"",1359,"",0,:,1.4
321,All alcohol conditions,"",d z,SMR01,2005/06,S12000010,"",519.2,362.2,0,:,456,"",318,"",0,:,1.4
322,All alcohol conditions,"",d z,SMR01,2005/06,S12000040,"",616.1,439.2,0,:,975,"",693,"",0,:,1.4
323,All alcohol conditions,"",d z,SMR01,2005/06,S12000019,"",587.5,421.8,0,:,462,"",330,"",0,:,1.4
324,All alcohol conditions,"",d z,SMR01,2005/06,S12000020,"",636,464.7,0,:,561,"",411,"",0,:,1.4
325,All alcohol conditions,"",d z,SMR01,2005/06,S12000013,"",1666,1174.2,0,:,450,"",315,"",0,:,1.4
326,All alcohol conditions,"",d z,SMR01,2005/06,S12000023,"",794.3,555.3,0,:,159,"",111,"",0,:,1.4
327,All alcohol conditions,"",d z,SMR01,2005/06,S12000048,"",518.7,391.3,0,:,705,"",525,"",0,:,1.3
328,All alcohol conditions,"",d z,SMR01,2005/06,S12000038,"",808.7,575.5,0,:,1317,"",936,"",0,:,1.4
329,All alcohol conditions,"",d z,SMR01,2005/06,S12000011,"",499.5,337.8,0,:,423,"",285,"",0,:,1.5
330,All alcohol conditions,"",d z,SMR01,2005/06,S12000027,"",768.7,548.3,0,:,171,"",123,"",0,:,1.4
331,All alcohol conditions,"",d z,SMR01,2005/06,S12000030,"",468.8,314.5,0,:,390,"",261,"",0,:,1.5
332,All alcohol conditions,"",d z,SMR01,2006/07,S12000033,"",996.7,662.9,0,:,2019,"",1371,"",0,:,1.5
333,All alcohol conditions,"",d z,SMR01,2006/07,S12000034,"",424.1,328.2,0,:,996,"",768,"",0,:,1.3
334,All alcohol conditions,"",d z,SMR01,2006/07,S12000041,"",336.3,251.2,0,:,369,"",276,"",0,:,1.3
335,All alcohol conditions,"",d z,SMR01,2006/07,S12000035,"",854.9,597.3,0,:,777,"",543,"",0,:,1.4
336,All alcohol conditions,"",d z,SMR01,2006/07,S12000008,"",1069.1,699.7,0,:,1251,"",822,"",0,:,1.5
337,All alcohol conditions,"",d z,SMR01,2006/07,S12000021,"",1042.7,702.8,0,:,1386,"",936,"",0,:,1.5
338,All alcohol conditions,"",d z,SMR01,2006/07,S12000028,"",999.3,710.8,0,:,1107,"",777,"",0,:,1.4
339,All alcohol conditions,"",d z,SMR01,2006/07,S12000026,"",643.5,469.8,0,:,690,"",501,"",0,:,1.4
340,All alcohol conditions,"",d z,SMR01,2006/07,S12000005,"",498.3,361.2,0,:,249,"",180,"",0,:,1.4
341,All alcohol conditions,"",d z,SMR01,2006/07,S12000006,"",482.7,370.7,0,:,726,"",552,"",0,:,1.3
342,All alcohol conditions,"",d z,SMR01,2006/07,S12000045,"",425.1,316.3,0,:,435,"",321,"",0,:,1.4
343,All alcohol conditions,"",d z,SMR01,2006/07,S12000039,"",852.9,630.6,0,:,753,"",555,"",0,:,1.4
344,All alcohol conditions,"",d z,SMR01,2006/07,S12000042,"",732.2,500.3,0,:,966,"",669,"",0,:,1.4
345,All alcohol conditions,"",d z,SMR01,2006/07,S12000036,"",781.1,511.9,0,:,3228,"",2139,"",0,:,1.5
346,All alcohol conditions,"",d z,SMR01,2006/07,S12000014,"",385,294,0,:,567,"",435,"",0,:,1.3
347,All alcohol conditions,"",d z,SMR01,2006/07,S12000047,"",633.5,436,0,:,2211,"",1524,"",0,:,1.5
348,All alcohol conditions,"",d z,SMR01,2006/07,S12000049,"",1534.9,1050.9,0,:,7752,"",5277,"",0,:,1.5
349,All alcohol conditions,"",d z,SMR01,2006/07,S12000017,"",978.1,661.9,0,:,2151,"",1449,"",0,:,1.5
350,All alcohol conditions,"",d z,SMR01,2006/07,S12000018,"",1304,879.1,0,:,1032,"",696,"",0,:,1.5
351,All alcohol conditions,"",d z,SMR01,2006/07,S12000050,"",799.4,541.5,0,:,2547,"",1710,"",0,:,1.5
352,All alcohol conditions,"",d z,SMR01,2006/07,S12000029,"",689.6,479.2,0,:,2043,"",1416,"",0,:,1.4
353,All alcohol conditions,"",d z,SMR01,2006/07,S12000010,"",633.5,437.7,0,:,561,"",390,"",0,:,1.4
354,All alcohol conditions,"",d z,SMR01,2006/07,S12000040,"",772.8,508.1,0,:,1251,"",819,"",0,:,1.5
355,All alcohol conditions,"",d z,SMR01,2006/07,S12000019,"",647.5,450.1,0,:,504,"",345,"",0,:,1.5
356,All alcohol conditions,"",d z,SMR01,2006/07,S12000020,"",661.4,470.7,0,:,597,"",420,"",0,:,1.4
357,All alcohol conditions,"",d z,SMR01,2006/07,S12000013,"",1733.4,1161.6,0,:,468,"",318,"",0,:,1.5
358,All alcohol conditions,"",d z,SMR01,2006/07,S12000023,"",812.7,566.6,0,:,165,"",114,"",0,:,1.4
359,All alcohol conditions,"",d z,SMR01,2006/07,S12000048,"",606.1,430,0,:,834,"",588,"",0,:,1.4
360,All alcohol conditions,"",d z,SMR01,2006/07,S12000038,"",946.7,653.9,0,:,1536,"",1053,"",0,:,1.5
361,All alcohol conditions,"",d z,SMR01,2006/07,S12000011,"",506.2,359.4,0,:,426,"",303,"",0,:,1.4
362,All alcohol conditions,"",d z,SMR01,2006/07,S12000027,"",654.2,457.6,0,:,147,"",102,"",0,:,1.4
363,All alcohol conditions,"",d z,SMR01,2006/07,S12000030,"",513.7,362.7,0,:,432,"",306,"",0,:,1.4
364,All alcohol conditions,"",d z,SMR01,2007/08,S12000033,"",1073.9,716.6,389,"",2223,"",1503,"",858,"",1.5
365,All alcohol conditions,"",d z,SMR01,2007/08,S12000034,"",437.3,325.7,200.8,"",1044,"",780,"",483,"",1.3
366,All alcohol conditions,"",d z,SMR01,2007/08,S12000041,"",323.8,240.7,151.9,"",363,"",270,"",171,"",1.3
367,All alcohol conditions,"",d z,SMR01,2007/08,S12000035,"",1043.4,692.1,361.6,"",954,"",630,"",330,"",1.5
368,All alcohol conditions,"",d z,SMR01,2007/08,S12000008,"",1086.4,756.3,413.6,"",1296,"",906,"",504,"",1.4
369,All alcohol conditions,"",d z,SMR01,2007/08,S12000021,"",1170.4,784.6,444.7,"",1566,"",1050,"",597,"",1.5
370,All alcohol conditions,"",d z,SMR01,2007/08,S12000028,"",993.3,708,372.1,"",1086,"",774,"",405,"",1.4
371,All alcohol conditions,"",d z,SMR01,2007/08,S12000026,"",673.2,488.7,289.2,"",732,"",531,"",309,"",1.4
372,All alcohol conditions,"",d z,SMR01,2007/08,S12000005,"",587.7,415.6,251.5,"",294,"",204,"",126,"",1.4
373,All alcohol conditions,"",d z,SMR01,2007/08,S12000006,"",571.7,424.9,261.2,"",849,"",627,"",378,"",1.4
374,All alcohol conditions,"",d z,SMR01,2007/08,S12000045,"",431.6,307.4,185.5,"",441,"",309,"",183,"",1.4
375,All alcohol conditions,"",d z,SMR01,2007/08,S12000039,"",1099.2,690.3,348.3,"",957,"",603,"",306,"",1.6
376,All alcohol conditions,"",d z,SMR01,2007/08,S12000042,"",701,485.1,250.6,"",924,"",648,"",342,"",1.4
377,All alcohol conditions,"",d z,SMR01,2007/08,S12000036,"",884.2,555.5,291.9,"",3759,"",2391,"",1308,"",1.6
378,All alcohol conditions,"",d z,SMR01,2007/08,S12000014,"",489.1,379.9,240.2,"",723,"",561,"",354,"",1.3
379,All alcohol conditions,"",d z,SMR01,2007/08,S12000047,"",651.8,462.8,276.4,"",2322,"",1650,"",996,"",1.4
380,All alcohol conditions,"",d z,SMR01,2007/08,S12000049,"",1603.4,1050.2,497.3,"",8199,"",5376,"",2637,"",1.5
381,All alcohol conditions,"",d z,SMR01,2007/08,S12000017,"",954.6,657.5,317,"",2115,"",1452,"",696,"",1.5
382,All alcohol conditions,"",d z,SMR01,2007/08,S12000018,"",1364.7,892,388.2,"",1098,"",717,"",318,"",1.5
383,All alcohol conditions,"",d z,SMR01,2007/08,S12000050,"",889.7,588.9,305.8,"",2832,"",1863,"",963,"",1.5
384,All alcohol conditions,"",d z,SMR01,2007/08,S12000029,"",685.7,479.6,251.6,"",2037,"",1425,"",747,"",1.4
385,All alcohol conditions,"",d z,SMR01,2007/08,S12000010,"",680.8,419.2,259.3,"",627,"",387,"",240,"",1.6
386,All alcohol conditions,"",d z,SMR01,2007/08,S12000040,"",843.6,543.8,312.1,"",1386,"",891,"",510,"",1.6
387,All alcohol conditions,"",d z,SMR01,2007/08,S12000019,"",732.4,512.1,316.4,"",579,"",402,"",246,"",1.4
388,All alcohol conditions,"",d z,SMR01,2007/08,S12000020,"",638.6,444,238.2,"",579,"",402,"",216,"",1.4
389,All alcohol conditions,"",d z,SMR01,2007/08,S12000013,"",1338.3,1002.9,378.9,"",372,"",279,"",102,"",1.3
390,All alcohol conditions,"",d z,SMR01,2007/08,S12000023,"",1008,648,327.2,"",213,"",135,"",69,"",1.6
391,All alcohol conditions,"",d z,SMR01,2007/08,S12000048,"",567.7,403.4,218.1,"",795,"",558,"",297,"",1.4
392,All alcohol conditions,"",d z,SMR01,2007/08,S12000038,"",966.4,645.9,356.7,"",1587,"",1059,"",588,"",1.5
393,All alcohol conditions,"",d z,SMR01,2007/08,S12000011,"",556.4,377.1,205.2,"",471,"",324,"",177,"",1.5
394,All alcohol conditions,"",d z,SMR01,2007/08,S12000027,"",673.6,494.2,315.7,"",147,"",108,"",69,"",1.4
395,All alcohol conditions,"",d z,SMR01,2007/08,S12000030,"",548.1,367.7,184.1,"",468,"",315,"",162,"",1.5
396,All alcohol conditions,"",d z,SMR01,2008/09,S12000033,"",1071.6,671.8,344.7,"",2223,"",1428,"",762,"",1.6
397,All alcohol conditions,"",d z,SMR01,2008/09,S12000034,"",431.5,324.3,191.6,"",1050,"",786,"",462,"",1.3
398,All alcohol conditions,"",d z,SMR01,2008/09,S12000041,"",356.9,268,177.5,"",405,"",300,"",198,"",1.4
399,All alcohol conditions,"",d z,SMR01,2008/09,S12000035,"",970,648.4,324.9,"",882,"",588,"",291,"",1.5
400,All alcohol conditions,"",d z,SMR01,2008/09,S12000008,"",982.6,666.4,319.6,"",1173,"",801,"",384,"",1.5
401,All alcohol conditions,"",d z,SMR01,2008/09,S12000021,"",1109.9,711.1,380.9,"",1503,"",963,"",516,"",1.6
402,All alcohol conditions,"",d z,SMR01,2008/09,S12000028,"",978.7,667.7,355.9,"",1077,"",732,"",390,"",1.5
403,All alcohol conditions,"",d z,SMR01,2008/09,S12000026,"",630.2,459.8,287.3,"",690,"",504,"",312,"",1.4
404,All alcohol conditions,"",d z,SMR01,2008/09,S12000005,"",532.4,420.9,238.6,"",270,"",210,"",117,"",1.3
405,All alcohol conditions,"",d z,SMR01,2008/09,S12000006,"",560.4,409.4,234,"",846,"",615,"",351,"",1.4
406,All alcohol conditions,"",d z,SMR01,2008/09,S12000045,"",400,283.2,173.1,"",408,"",288,"",177,"",1.4
407,All alcohol conditions,"",d z,SMR01,2008/09,S12000039,"",1185.3,720.9,350.5,"",1023,"",618,"",303,"",1.7
408,All alcohol conditions,"",d z,SMR01,2008/09,S12000042,"",829.7,549.4,311.1,"",1107,"",747,"",435,"",1.5
409,All alcohol conditions,"",d z,SMR01,2008/09,S12000036,"",801,529,260.8,"",3375,"",2247,"",1149,"",1.5
410,All alcohol conditions,"",d z,SMR01,2008/09,S12000014,"",485.1,364.9,211.4,"",735,"",549,"",318,"",1.3
411,All alcohol conditions,"",d z,SMR01,2008/09,S12000047,"",640.4,459.5,263.7,"",2265,"",1623,"",936,"",1.4
412,All alcohol conditions,"",d z,SMR01,2008/09,S12000049,"",1602,1050,486.1,"",8322,"",5418,"",2598,"",1.5
413,All alcohol conditions,"",d z,SMR01,2008/09,S12000017,"",894,624.2,291.3,"",2028,"",1407,"",654,"",1.4
414,All alcohol conditions,"",d z,SMR01,2008/09,S12000018,"",1384.6,942.9,464.7,"",1110,"",759,"",372,"",1.5
415,All alcohol conditions,"",d z,SMR01,2008/09,S12000050,"",799.5,532.1,269.5,"",2586,"",1701,"",858,"",1.5
416,All alcohol conditions,"",d z,SMR01,2008/09,S12000029,"",674.3,458.1,238.3,"",2025,"",1371,"",717,"",1.5
417,All alcohol conditions,"",d z,SMR01,2008/09,S12000010,"",628.5,403.6,243.5,"",579,"",375,"",225,"",1.5
418,All alcohol conditions,"",d z,SMR01,2008/09,S12000040,"",767.4,527,282.6,"",1269,"",867,"",465,"",1.5
419,All alcohol conditions,"",d z,SMR01,2008/09,S12000019,"",624.4,451,258,"",501,"",360,"",204,"",1.4
420,All alcohol conditions,"",d z,SMR01,2008/09,S12000020,"",601.4,431,238.9,"",561,"",402,"",225,"",1.4
421,All alcohol conditions,"",d z,SMR01,2008/09,S12000013,"",1141.6,816.8,325.2,"",309,"",222,"",87,"",1.4
422,All alcohol conditions,"",d z,SMR01,2008/09,S12000023,"",881.5,591.8,273,"",189,"",123,"",57,"",1.5
423,All alcohol conditions,"",d z,SMR01,2008/09,S12000048,"",588.2,390.7,210.4,"",834,"",549,"",291,"",1.5
424,All alcohol conditions,"",d z,SMR01,2008/09,S12000038,"",927.5,678.4,375.1,"",1548,"",1125,"",624,"",1.4
425,All alcohol conditions,"",d z,SMR01,2008/09,S12000011,"",559.2,361.1,188.4,"",474,"",303,"",159,"",1.6
426,All alcohol conditions,"",d z,SMR01,2008/09,S12000027,"",670.1,514.9,262.1,"",147,"",114,"",57,"",1.3
427,All alcohol conditions,"",d z,SMR01,2008/09,S12000030,"",551.6,387.3,194.2,"",465,"",330,"",168,"",1.4
428,All alcohol conditions,"",d z,SMR01,2009/10,S12000033,"",1050.8,651.6,321.1,"",2208,"",1404,"",723,"",1.6
429,All alcohol conditions,"",d z,SMR01,2009/10,S12000034,"",414.6,308.6,186.2,"",1026,"",759,"",459,"",1.4
430,All alcohol conditions,"",d z,SMR01,2009/10,S12000041,"",378.8,278.1,174.6,"",426,"",312,"",195,"",1.4
431,All alcohol conditions,"",d z,SMR01,2009/10,S12000035,"",928.3,612,289.2,"",837,"",549,"",258,"",1.5
432,All alcohol conditions,"",d z,SMR01,2009/10,S12000008,"",967.2,644.1,308.8,"",1173,"",780,"",378,"",1.5
433,All alcohol conditions,"",d z,SMR01,2009/10,S12000021,"",1164.9,774,386.2,"",1560,"",1032,"",513,"",1.5
434,All alcohol conditions,"",d z,SMR01,2009/10,S12000028,"",1044.6,679.1,355.6,"",1137,"",741,"",387,"",1.5
435,All alcohol conditions,"",d z,SMR01,2009/10,S12000026,"",593.9,438.6,259,"",654,"",483,"",285,"",1.4
436,All alcohol conditions,"",d z,SMR01,2009/10,S12000005,"",497.7,368.2,209.9,"",261,"",189,"",108,"",1.4
437,All alcohol conditions,"",d z,SMR01,2009/10,S12000006,"",524.1,377,204.5,"",783,"",564,"",303,"",1.4
438,All alcohol conditions,"",d z,SMR01,2009/10,S12000045,"",438,296,166,"",447,"",300,"",171,"",1.5
439,All alcohol conditions,"",d z,SMR01,2009/10,S12000039,"",1176.3,710.2,345.4,"",1023,"",621,"",303,"",1.6
440,All alcohol conditions,"",d z,SMR01,2009/10,S12000042,"",718.8,518.4,277.2,"",960,"",699,"",384,"",1.4
441,All alcohol conditions,"",d z,SMR01,2009/10,S12000036,"",686.3,457,220.4,"",2898,"",1944,"",972,"",1.5
442,All alcohol conditions,"",d z,SMR01,2009/10,S12000014,"",502.2,348.6,190,"",756,"",522,"",279,"",1.4
